0-9:accepted-959-28
0-9:accepted-987-7
0-9:refuted-11-18
0-9:refuted-853-5
0-9:refuted-936-6
0-9:refuted-991-10
0-9:refuted-834-9
0-9:refuted-918-7
0-9:refuted-969-9
0-9:refuted-810-7
10-19:accepted-914-7
10-19:accepted-996-6
10-19:refuted-790-7
10-19:refuted-871-5
10-19:refuted-930-5
10-19:refuted-774-5
10-19:refuted-854-4
10-19:refuted-913-6
10-19:refuted-760-5
20-29:refuted-840-6
