0-9:accepted-297-89
0-9:accepted-393-31
0-9:accepted-431-60
0-9:accepted-242-24
0-9:accepted-351-19
0-9:accepted-402-15
0-9:refuted-207-12
0-9:refuted-325-16
0-9:refuted-377-17
10-19:accepted-183-15
10-19:accepted-301-21
10-19:accepted-354-16
10-19:accepted-156-19
10-19:accepted-274-12
10-19:accepted-332-15
10-19:refuted-130-17
10-19:refuted-252-14
10-19:refuted-307-17
10-19:refuted-105-15
20-29:refuted-229-14
