0-9:accepted-948-32
0-9:accepted-974-17
0-9:refuted-11-26
0-9:refuted-851-11
0-9:refuted-935-10
0-9:refuted-991-6
0-9:refuted-834-6
0-9:refuted-917-15
0-9:refuted-967-13
0-9:refuted-810-13
10-19:accepted-927-6
10-19:accepted-1007-8
10-19:refuted-789-9
10-19:refuted-869-10
10-19:refuted-927-9
10-19:refuted-771-10
10-19:refuted-852-8
10-19:refuted-911-9
10-19:refuted-757-9
20-29:refuted-838-8
