0-9:accepted-301-85
0-9:accepted-390-19
0-9:accepted-434-48
0-9:accepted-242-10
0-9:accepted-353-9
0-9:accepted-405-8
0-9:refuted-211-7
0-9:refuted-328-11
0-9:refuted-382-9
0-9:accepted-187-9
10-19:accepted-304-13
10-19:accepted-357-9
10-19:accepted-158-14
10-19:accepted-282-7
10-19:accepted-338-7
10-19:refuted-142-7
10-19:refuted-263-10
10-19:refuted-316-11
10-19:refuted-111-8
20-29:refuted-234-8
